"Dragon Word","Word Type","Canon Level",Definition,Notes
Tunihah,noun,Semi-Canon,"Doloire
","Related to ""Hahkun"". This type of axe is sometimes called a Wagoner’s Axe. It is known that axes of this type were carried with the wagon trains supporting medieval and Renaissance armies. It was probably used as both a tool and a weapon and many are found in various armories around the world. "
Tuniik,noun,Non-Canon,Trader,"""Tun"" with the suffix ""-iik""."
Turgun,noun,Non-Canon,Bucket,
Turog,noun,Non-Canon,Mule,
Tursaal,noun,Non-Canon,"Citizen, Civilian",
Tursaaldein,noun,Non-Canon,Citizenship,"The noun ""tursaal"" with the suffix ""ein/dein."
Tursaaluv,adjective,Non-Canon,Civil,"""Tursaal"" with the suffix ""-uv."""
Tus,noun,Non-Canon,Plate,
Tus-Niiv,noun,Modern,Baseball,"From ""Tus"" and ""Niiv,"" ""plate-ball."""
Tusah,noun,Non-Canon,"Pad, Padding","From ""Tus,"" ""plate."""
Tusron,verb,Non-Canon,"Race, Sprint, to move at full speed",
Tusroniik,noun,Non-Canon,"Racer, Sprinter","""Tusron"" with suffix ""-iik""."
Tuz,noun,Canon,Blade,
Tuzahrol,noun,Semi-Canon,"Karst, Highlands, any area of rocky or sharp hills","Lit. ""blade-hill."""
Tuzmun,noun,Semi-Canon,Swordsman,"Lit. ""blade-man."""
Ubaak,noun,Non-Canon,"Base, Station",
Ufiik,noun,Canon,Troll,
Ufiin,verb,Non-Canon,Invent,
Ufiinsiik,noun,Non-Canon,Inventor,"Based on ""Ufiinsah"" with the suffix ""-iik""."
Ufir,adjective,Non-Canon,"Decent, Respectable",
Ufirzah,noun,Non-Canon,Decency,"From ""Ufir"", ""decent""."
Uft,noun,Non-Canon,Feather,
Uft-Dwiin,noun,Semi-Canon,Mithril,"Based on ""Uft"" and ""Dwiin"", ""feather-steel"". Added hyphen."
Uftahin,noun,Non-Canon,Pillow,"Edited from ""Jir."" Related to ""Uft,"" ""feather."""
Uftahin-Frit,noun,Non-Canon,Pillowcase,"Lit. ""pillow-sheath."""
Uftus,adjective,Non-Canon,Feathery,"""Uft"" with suffix ""-us""."
Uful,verb,Non-Canon,Worry,"Can be used as a noun or a verb."
Ukiir,noun,Non-Canon,"Antic, Caper",
Ukust,noun,Non-Canon,Oppression,"Edited from ""Ukund""."
Ukuz,verb,Non-Canon,Oppress,"Edited from ""Ukun""."
Ukuziik,noun,Non-Canon,Oppressor,"""Ukuz"" with the suffix ""-iik"". Edited from ""Ukuniik""."
Ul,noun,Canon,Eternity,
Ulaak,verb,Non-Canon,Care,"Also a noun."
Ulaakei,adjective,Non-Canon,Careful,"""Ulaak"" with the suffix ""-kei""."
Ulaaknu,adjective,Non-Canon,Careless,"""Ulaak"" with the suffix ""-nu""."
Ulaaknurom,noun,Non-Canon,Carelessness,"""Ulaaknu"" with the suffix ""-rom""."
Ulaan,adjective,Non-Canon,"Entire, Whole, Complete, Comprehensive","Edited from ""Ulan."""
Ulanhimdah,adjective,Non-Canon,National,"Lit. ""whole-home""."
Ulaz,noun,Non-Canon,Angle,
Uld,verb,Semi-Canon,Might,"Based on ""Aal"".  The verb ""might"", not the noun meaning ""strength/power""."
Ulfah,noun,Non-Canon,Creature,
Uliid,adjective,Non-Canon,Precise,
Uliidom,noun,Non-Canon,"Precision, Preciseness","""Uliid"" with the suffix ""-om""."
Ulm,noun,Non-Canon,Elm,
Ulokuun,noun,Non-Canon,"Emperor, Empress",
Uloz,verb,Non-Canon,Wreck,
Uluthan,noun,Non-Canon,Oregano,
Um,preposition,Non-Canon,Around,
Umaak,noun,Non-Canon,"Log, Record","Can also be used as a verb, ""to log/record""."
Umdaal,noun,Non-Canon,Hilt,
Umriid,noun,Non-Canon,Treasure,"Can be used as a noun or a verb."
Un,pronoun,Canon,"Our, Ours",
Unad,verb,Non-Canon,Choose,"Edited to ""Unad"" so it doesn't conflict with the verb suffix ""-iin""."
Unadaan,adjective,Non-Canon,Chosen,"""Unad"" with ""-aan"". Is also the present perfect form of ""Unad"", ""have chosen""."
Unadiik,noun,Non-Canon,Chooser,"""Unad"" with suffix ""-iik""."
Unagein,noun,Semi-Canon,Patron,"Based on ""Unad"" and ""Gein"", literally, ""chosen one""."
Unahzaal,adjective,Canon,"Unending / Ceaseless / Eternal (less common than Unslaad)",
Unaz,adjective,Non-Canon,Happy,
Unazom,noun,Non-Canon,Happiness,"Derived from ""Unaz"" with the suffix ""-om""."
Undin,preposition,Non-Canon,Behind,
Uniid,noun,Semi-Canon,Term,"From the words ""Tiid"" meaning ""Time"" and ""Unad"" meaning ""Choose""."
Unmaar,pronoun,Semi-Canon,Ourselves,"The reflexive of ""Mu""."
Unslaad,adjective,Canon,"Unending / Ceaseless / Eternal",
Unslaar,adverb,Semi-Canon,"Forevermore, Evermore, Everlasting, Everlastingly","Related to ""Unslaad"", ""unending"". Can be used as an adjective or an adverb."
Unslaav,adjective,Semi-Canon,Incessant,"Related to ""Unslaad""."
Unt,verb,Canon,Try,
Untaar,adjective,Semi-Canon,"Servile, Abject","Related to ""Aar"", ""slave/servant""."
Untak,noun,Semi-Canon,Trial,"""Unt"" with the suffix ""-ak"", the act of trying."
Unviig,verb,Non-Canon,"Dodge, Evade","From Swedish ""undvika"", Norwish ""unnvike"" and Danish ""undvige""."
Ur,noun,Non-Canon,Oar,
Uraan,noun,Non-Canon,"Brilliance, Radiance, Splendor",
Uraniik,adjective,Non-Canon,"Brilliant, Radiant, Splendid","Edited from ""Nirah."""
Urid,verb,Non-Canon,"Reward, Award","Can also be used as a noun."
Uridah,noun,Non-Canon,Medal,"From ""Urid"". Can also be used as a verb. "
Uriif,noun,Non-Canon,Prize,"Slightly related to 'Urid' - reward."
Urik,adjective,Non-Canon,Broad,
Urikras,noun,Non-Canon,Epidemic,"Urik ""broad"" + Kras ""sick"""
Uriktuz,noun,Semi-Canon,Broadsword,"Lit. ""broad-blade."""
Uroksvaal,noun,Non-Canon,"Marauder, Reaver",
Urzun,verb,Non-Canon,"Determine, Conclude, Choose",
Us,preposition,Canon,Before,
Uskoros,noun,Semi-Canon,Precedent,"Compound of ""Us"", ""before"", and ""Koros"", ""event""."
Uskriif,noun,Non-Canon,Recipe,"Based on the Norwegian and Finnish language."
Usliik,adjective,Semi-Canon,"Former, Previous, Earlier","Edited from ""Firig."" From ""Us,"" ""before."
Uslovaas,noun,Semi-Canon,Prelude,"Lit. ""fore-song."""
Usnaan,adjective,Semi-Canon,Foremost,"From ""Us"" and ""Naan,"" ""before any."""
Usnutiid,noun,Semi-Canon,History,"Lit. ""before the present time"". This word previously meant ""past""."
Usris,noun,Non-Canon,Preposition,"From Us ""before"" and Ris ""to place"". Can also be used as a pronoun."
Ustidaan,noun,Semi-Canon,Historian,"Edited from ""Rotusnutiidel."""
Ustiid,noun,Semi-Canon,Past,"Lit. ""before-time"". Was previously ""Usnutiid""."
Usukah,verb,Semi-Canon,Premeditate,"From ""Sukah"" and ""Us,"" ""fore-intend."""
Usul,noun,Semi-Canon,Yesterday,"A compound of ""Us"" and ""Sul"", ""before-day""."
Utan,adverb,Non-Canon,"Abroad, Afar",
Uth,verb,Canon,"Command, Order",
Uthaarn,verb,Semi-Canon,Enforce,"Compound of ""Uth"" and ""Thaarn,"" ""command obedience."""
Uthaarniik,noun,Semi-Canon,Enforcer,"""Uthaarn"" with suffix ""-iik."""
Uthim,noun,Non-Canon,Colony,
Uv,conjunction,Canon,Or,
Uvokriin,noun,Non-Canon,Hypocrite,
Uzgrolein,noun,Semi-Canon,"Paradox, Absurdity, Anomaly, Inconsistency","Edited from ""Jovein"". Means ""not bound to the world""."
Uzgroleinuv,adjective,Semi-Canon,"Absurd, Paradoxical","Edited from ""Joviin"". From ""Uzgrolein"", ""paradox""."
Uznahgaar,adjective,Canon,Unbridled,
Uznahgar,adjective,Canon,"Unbridled, Unending","Rare version of ""Unslaad"". Only occurs once. Alternate or possibly incorrect spelling of ""Uznahgaar."""
Uzur,verb,Non-Canon,Convert,
Uzvinos,adjective,Semi-Canon,Unassailable,"From Uznahgaar 'unbridled,' Vis 'can,' and Nos 'to strike.'"
Vaad,noun,Non-Canon,Boat,
Vaagol,adjective,Semi-Canon,"Stalwart, Stout, Sturdy, Sturdiness","Related to ""Gol"", ""earth"", ""sturdy or stout as earth""."
Vaak,verb,Non-Canon,Ram,
Vaal,noun,Canon,Bay,"""To keep at bay"", ""to hold at bay"", rather than the body of water."
Vaalt,verb,Non-Canon,"Fold, Crease",
Vaalt-Yelbrot,noun,Modern,Taco,"From ""Vaalt"" and ""Yelbrot,"" ""folded tortilla."""
Vaaltspiin,noun,Modern,Laptop,"From ""Vaalt"" and ""Spiin,"" lit. ""fold-screen."""
Vaan,verb,Semi-Canon,"Glide, Soar","Edited from ""Vond."" From ""Viing,"" ""wing."""
Vaar,verb,Non-Canon,Relent,
Vaard,noun,Non-Canon,Fjord,
Vaaril,noun,Non-Canon,"Campaign, Crusade",
Vaarnu,adjective,Non-Canon,"Unrelenting, Ruthless",
Vaarnufaaz,noun,Semi-Canon,"Torment, Anguish, Agony","Lit. ""unrelenting pain."" Edited from ""Yevul"" and ""Vulfaaz."""
Vaarnurel,verb,Semi-Canon,"Overwhelm, Overtake","From ""Vaarnu"" and ""Rel,"" ""to dominate unrelenting."""
Vaaruk,noun,Non-Canon,"Gossip, Rumor","Can be also used as a verb"
Vaarun,noun,Non-Canon,Scoundrel,
Vaas,adverb,Non-Canon,"What kind of, what manner of, like what","Used to ask questions about the qualities of a noun. Eg. ""Vaas zun kod hi?"" ""What kind of weapon do you wield?"" Or, ""Vaas rok?"" ""What is he like?"""
Vaat,verb,Canon,"Swear / Swore",
Vaaz,verb,Canon,Tear,"From the ""Soul Tear"" shout in the Dawnguard dlc. Tear rip, not Tear cry."
Vaaz-Thulzun,noun,Modern,"Machine Gun","Lit. ""tearing gun."" Edited from ""Vaazmulrunaz."""
Vaazaan,adjective,Semi-Canon,Torn,"""Vaaz"" with the suffix ""-aan"".  Also, ""have torn""."
Vaazkein,noun,Semi-Canon,"Civil War","A compound of ""Vaaz"" (""to tear"") and ""Kein"" (""war"")."
Vah,noun,Canon,Spring,
Vahdin,noun,Canon,Maiden,
Vahdinaar,noun,Semi-Canon,Maid,"Edited from ""Vahn."" Lit. ""maiden-servant."""
Vahjiik,noun,Non-Canon,Host,
Vahk,adjective,Non-Canon,"Easy, Simple",
Vahkaas,adjective,Non-Canon,Harsh,"Edited from ""Vahrsk."""
Vahkaasin,noun,Semi-Canon,"A person who maintains strict discipline or rule, Martinet","Lit. ""Harsh"", ""master"". Edited from ""Vahrskin."""
Vahkbrud,adjective,Non-Canon,Portable,"Lit ""easy"", ""carry""."
Vahkroved,adjective,Non-Canon,Susceptible,"A combination of ""Vahk"", ""easy"", and ""Kroved"", ""corrupt""."
Vahladyuld,noun,Non-Canon,Finance,"Lit. ""manage-money""."
Vahlii,verb,Non-Canon,Seduce,
Vahliind,noun,Non-Canon,Seduction,"""Vahlii"", ""seduce"" with suffix ""-nd""."
Vahlin,noun,Non-Canon,Majesty,
Vahlogolz,noun,Semi-Canon,"Standing Stone","Derived from ""Vahlok"" and ""Golz"" (by the analogy of ""Dovahgolz"")."
Vahlok,noun,Canon,Guardian,
Vahlokeyv,noun,Semi-Canon,"Guardianship, Responsibility, Charge","Lit. ""guardian duties."""
Vahlokeyvaal,adjective,Semi-Canon,"Responsible, Accountable","From ""Vahlokeyv"" with suffix ""-aal""."
Vahlom,noun,Semi-Canon,Freshwater,"A compound of ""Vah"" and ""Lom"", ""spring-water""."
Vahlomok,noun,Semi-Canon,"Spring, Spa","From ""Vah"", ""spring"", and ""Lomok"", ""pool"", refers to a water or mineral spring."
Vahlukad,noun,Non-Canon,Compromise,"Also a verb."
Vahlusend,noun,Non-Canon,"Commission ",
Vahlusendaar,noun,Non-Canon,Commissioner,
Vahlut,adjective,Non-Canon,Left,"The direction left, as opposed to the past tense of leave. Edited from ""Vahlt."""
Vahmaan,noun,Non-Canon,Member,
Vahmik,noun,Semi-Canon,Disservice,"Based on ""Ahmik"" with prefix ""vo-""."
Vahnis,noun,Non-Canon,Blemish,
Vahnuk,verb,Non-Canon,"Fascinate, Enthrall",
Vahnuv,adjective,Semi-Canon,Vernal,"""Vah"" with the suffix ""-nuv"", ""of or pertaining to spring"". Edited from ""Vahiil."
Vahpruzah,adjective,Semi-Canon,"Valid, Legitimate","Modified from ""true and good."""
Vahpruzahend,verb,Semi-Canon,Validation,"""Vahpruzah"" with suffix ""-end""."
Vahraak,verb,Non-Canon,Spare,"Meaning ""to let live"" or ""refrain from action."""
Vahraan,verb,Semi-Canon,"Heal, Treat, Treatment, healing","From ""Vo-Ahraan,"" ""un-wound."" The verb ""to heal"" and the noun ""healing/treatment."" Edited from ""Tolsek."""
Vahraanfiit,noun,Modern,Pill,"From ""Vahraan"" and ""Fiit,"" ""healing bite."""
Vahraanrax,noun,Modern,Dentist,"Lit. means ""teeth/tooth"", ""heal""."
Vahraniik,noun,Semi-Canon,"Healer, any kind of healer or treater of wounds, mental, physical, or otherwise","From ""Vahraan"" with the suffix ""-iik."" Edited from ""Tolsekiin."""
Vahranim,noun,Semi-Canon,Medicine,"From ""Vahraan,"" ""to heal."" Edited from ""Tulsekin."""
Vahriik,noun,Non-Canon,Heir,"Edited from ""Defahn."""
Vahriin,adjective,Canon,Sworn,
Vahriz,noun,Non-Canon,Bile,
Vahrot,noun,Semi-Canon,"Vow, Oath","From ""Vahriin"" and ""Rot"", ""sworn word"". Edited from ""Kesmah""."
Vahrukiv,verb,Canon,"Commemorate / Commemoration","Expanded definition to include ""commemoration."""
Vahrukt,noun,Canon,Memory,
Vahruktnu,noun,Semi-Canon,Amnesia,"From ""Vahrukt"" with the suffix ""-nu"", ""without memory""."
Vahruktuv,noun,Semi-Canon,Mnemonic,"""Mnemonic"" with the suffix ""-uv,"" ""pertaining to memory."""
Vahtinvah,noun,Semi-Canon,"Testimony, Testify","From the words ""Vahzen"", ""truth"", and ""Tinvaak"", ""speech/speak""."
Vahyarak,noun,Non-Canon,Banner,
Vahzah,adjective,Canon,True,
Vahzen,noun,Canon,Truth,
Vahzen-Tovitaan,noun,Semi-Canon,"Researcher, Analyzer, Inspector, Investigator","Lit. ""Truth-Seeker."""
Vahzensaag,noun,Semi-Canon,"Proverb, Aphorism","Literally, ""truth-saying""."
Vaknor,noun,Non-Canon,Coast,"A geographic coast, rather than the verb ""to coast (along)""."
Vakrom,noun,Non-Canon,Chastity,"Shortened variation of ""Vakron"" with the -om suffix."
Vakron,adjective,Non-Canon,Chaste,
Vald,verb,Semi-Canon,Decimate,"Derived from ""Ald"", ""Destroy""."
Valdak,noun,Semi-Canon,Decimation,"""Vald"" with suffix ""-ak""."
Valdrek,noun,Non-Canon,Wretch,
Valdrekaan,adjective,Non-Canon,Wretched,
Valdrekaanom,noun,Non-Canon,Wretchedness,
Valinaar,adjective,Non-Canon,Majestic,
Valk,adjective,Non-Canon,Nervous,
Valkjiik,adjective,Non-Canon,Giddish,"Lit. ""nervous joy""."
Valkom,noun,Non-Canon,Nervousness,"The noun form of ""Valk"", ""Nervous"", with the suffix ""-om""."
Valkragrind,noun,Semi-Canon,Congress,"From ""Valkralin"", ""delegate"", and ""Grind"", ""meet""."
Valkralin,noun,Non-Canon,Delegate,
Valkunstiid,adjective,Non-Canon,Timid,"From ""Valk"". Lit. means ""nervous always""."
Valokein,interjection,Non-Canon,Welcome,
Valzapor,noun,Non-Canon,"Summerset Isle",
Vanah,noun,Non-Canon,"Type, Version",
Vandul,noun,Non-Canon,Window,
Vandulwahl,noun,Semi-Canon,Fenestration,"Lit. ""window-raising""."
Vankar,verb,Non-Canon,Lack,
Vanras,noun,Non-Canon,"Treaty, Compact",
Vanvaak,verb,Non-Canon,"Babble, Prattle",
Vasaar,noun,Non-Canon,"Meadow, Pasture",
Vasik,verb,Non-Canon,Drain,
Vaskin,noun,Non-Canon,Flagon,
Vaslahl,noun,Non-Canon,Lavender,"Also an adjective."
Vasmiir,noun,Non-Canon,Staff,
Vath,adjective,Non-Canon,Early,"Edited from 'Vuthuul' to 'Vath'."
Vau,adjective,Non-Canon,Off,"Edited from ""Auf"" to ""Vau""."
Vauvozahkel,adjective,Modern,"Offline, off the internet","Lit. ""Off"", ""Internet""."
Vax,noun,Non-Canon,"Traitor, Rebel, Renegade",
Vaxei,adjective,Non-Canon,"Traitorous, Rebellious, Treacherous","An alternate form of ""Vax"" with the suffix ""kei""."
Ved,adjective,Canon,Black,
Vedaak,adjective,Semi-Canon,"Pitch black, Totally dark","Based off is ""Ved / Black"""
Vediraz,noun,Modern,Licorice,"From ""Ved,"" ""black"" and ""Iraz,"" ""mint"", lit. ""black-mint"". Refers to the plant/herb."
Vedkrasom,noun,Semi-Canon,"Plague, Pestilence","Literally ""Black sickness""."
Vedogah,noun,Semi-Canon,Blackberry,"From ""Ved"" and ""Ogah,"" literal adaptation."
Veik,noun,Non-Canon,Acid,
Veikus,adjective,Non-Canon,Acidic,"""Veik"" with the suffix ""-us"", ""having the qualities of acid""."
Veiliin,noun,Semi-Canon,"Gender, Sex","Related to ""Liin""."
Vein,verb,Semi-Canon,"to beat the wings strongly as a show of force or intimidation","A portmanteau of ""Viing"" and ""Rein,"" a show of physical intimidation."
Veinaar,noun,Non-Canon,Veal,
Veirax,noun,Non-Canon,"Tine, such as on a fork, rake, etc.","Portmanteau of ""Veirey,"" ""thin,"" and ""Rax,"" ""tooth."""
Veirey,adjective,Non-Canon,"Skinny, Thin","Similar to ""Yal"" but refers more to an object that is thin, whereas ""Yal"" refers more to an opening, passage, or space that is thin."
Veistul,adjective,Non-Canon,"Wicked, Vile",
Vek,verb,Non-Canon,"Hit, Impact",
Vel,verb,Non-Canon,"Tend, Nurture, care for","As in ""To tend a farm."""
Velaaz,noun,Non-Canon,"Banquet, Feast",
Velokraan,noun,Non-Canon,Hummingbird,"Derives from ""Lokraan"", ""bird""."
Velvaas,noun,Semi-Canon,"Drinking song","Derived from ""Velaaz"" (""Feast"") and ""Lovaas"" (""Song, Music"")"
Ven,noun,Canon,"Wind, Current, Path, Way","Primarily means ""wind."" Expanded definition to also mean ""path"" or ""way""."
Vendus,adjective,Semi-Canon,Windy,"""Ven"" with the suffix ""-us""."
Venlovaas,noun,Modern,Windchime,"Lit. means ""wind"", ""music""."
Vennesetiid,noun,Canon,"The currents of time","A compound formed from ""Ven"" and ""Tiid""."
Venosley,noun,Semi-Canon,Dandelion,"From ""Ven"" and ""Osley,"" ""windflower."""
Venro,adjective,Semi-Canon,Handsome,"From ""Ven"" and ""Ro,"" ""wind's balance."""
Vensedren,noun,Semi-Canon,"Style, Manner, Method, Fashion, Technique, Demeanor","Lit. ""wind/way of doing"". Edited from ""Zensedreh."" "
Vensekos,noun,Semi-Canon,"Condition, State, Aspect","Literally, ""wind/way of being"". Edited from ""Zensekos."""
Venselaas,noun,Semi-Canon,Lifestyle,"Literally, ""wind/way of life"". Edited from ""Zenselaas."""
Venselor,noun,Semi-Canon,"Paradigm, Archetype, Model, Pattern","Edited from ""Lorozen."" Lit. ""wind of thought."""
Vensethu'um,noun,Semi-Canon,"Way of the Voice","Lit translated."
Venshun,noun,Modern,"Vacuum Cleaner","From ""Ven"" and ""Shun."""
"Venstrun ",noun,Semi-Canon,Windstorm,"Literal equivalent."
Vensul,noun,Semi-Canon,"Friday / Fredas","Lit. ""Wind Day""."
Ventiv,adjective,Semi-Canon,Wayward,"From ""Ven,"" ""wind."""
Ventovitaan,noun,Semi-Canon,Disciple,"Edited from ""Nemel."" Means ""wind-seeker."""
Venzoriik,noun,Modern,Kite,"From ""Ven"" and ""Zoriik,"" ""wind-rider."""
Ver-,prefix,Non-Canon,"Forms a verb (see notes)","""Make [noun]"", the act of creating the noun applied.
Verdrem; to make peace.  Verkein; to make war."
Verbaasiik,noun,Non-Canon,Artist,"""Bahs"" with the prefix ""Ver-"" and the suffix ""-iik"", ""someone who makes art"". Literally, ""artmaker"". Edited from ""Verbahsiik""."
Verdeykrilir,verb,Semi-Canon,Photograph,"""Deykrilir"" with prefix ""Ver-""."
Verfaas,adjective,Semi-Canon,Fearsome,"""Faas"" with the prefix ""Ver-"", literally means ""fearmaking""."
Vergrav,verb,Non-Canon,"Strive, Endeavor, Focus, to make an effort","""Grav"" with the prefix ""Ver-"", ""to make an effort""."
Vergrundak,noun,Non-Canon,Cartography,"Literally, ""the act of map-making""."
Verilir,verb,Non-Canon,"Paint, Draw, to make a picture","A non-specific term for a method of creating an image.
"
Verin,noun,Non-Canon,Element,
Verinrii,noun,Semi-Canon,"Elemental ","A compound of ""Verin"" and ""Rii"", ""Element essence"". Refers to ethereal spirits of elements (for example, Ice Wraith - ""Iizinrii"" - elemental of ice and snow)"
Verkeiniik,noun,Semi-Canon,Warmonger,"""Kein"" with the prefix ""Ver-"" and the suffix ""-iik"", lit. ""someone who makes war""."
Verkiir,verb,Non-Canon,"Procreate, Impregnate, Breed, Reproduce","As opposed to Liin (mate/sex) which doesn't necessarily have the purpose of breeding. Ver: to make, Kiir: child"
Verkiirgein,noun,Modern,Spore,"Lit. means ""reproduce"", ""one""."
Verlovaas,verb,Semi-Canon,"Play, Perform, music-making, to perform or play a song","""Lovaas"" with the prefix ""Ver-,"" ""to make music."" Should be used as an intransitive verb; ""Rek verlovaas,"" ""she is making music."""
Verlovaasniir,noun,Semi-Canon,"Instrument, musical instrument","""Lovaas"" with the prefix ""Ver-"" and suffix ""-niir"", fully meaning ""something one makes music with""."
Verluz,verb,Non-Canon,"Intimidate, Coerce",
Vernenfah,verb,Non-Canon,Reference,"Lit. ""to make mention""."
Vernevul,verb,Non-Canon,"Urinate, Pee, Piss","""Nevul"" with prefix ""Ver-"": lit. ""make-urine."""
Verotiik,noun,Semi-Canon,Author,"Lit. ""word-maker""."
Verqulekin,noun,Non-Canon,Locksmith,"Literally, ""lockmaker""."
Vertal,verb,Non-Canon,"Report, Record","Lit. ""to make a report or account""."
Verut,verb,Non-Canon,"Endanger, Threaten","""Rut"" with the prefix ""Ver-"", ""to make danger or threats towards"". Edited from ""Verhask."""
Vervisk,verb,Non-Canon,"Party, Celebrate","The verb from ""Visk"", lit. ""to make celebration""."
Verwahsar,verb,Non-Canon,"Fantasize, Daydream","""To make fantasy"", ""Wahsar"" with the prefix ""Ver-""."
Vesey,verb,Non-Canon,Kiss,"Edited from ""Besey""."
Vet,verb,Non-Canon,"Hone, Refine, File",
Vetgar,noun,Non-Canon,Scene,"This word was created using the Icelandic word for ""scene"", ""vettvangur."" In a happy accident, the Dovahzul word ""vet"" means ""to hone or file,"" which works, since a scene is a honed or concentrated section of an act (as in a play)."
Vex,noun,Non-Canon,Onyx,
Vey,verb,Canon,Cut,
Veyd,adjective,Semi-Canon,"Grim, Bleak","From ""Ved,"" ""black."" Edited from ""Jiid."""
Veydar,noun,Non-Canon,"Store, Shop",
Veydo,noun,Canon,Grass,
Veydogosvah,noun,Semi-Canon,Bamboo,"From ""Veydo,"" ""grass"" and ""Gosvah,"" ""wood"", lit. ""grass-wood""."
Veydol,noun,Semi-Canon,Moss,"Edited from ""Kigrath."" From ""Veydo,"" ""grass."""
Veydoraak,noun,Modern,Cigar,"From ""Veydo"" and ""Raak,"" lit. ""grass-stick"" or ""weed-stick"", Shortened for phonetic reasons."
Veydosebriin,noun,Semi-Canon,Seaweed,"Lit. ""grass of the sea""."
Veydoz,noun,Semi-Canon,Weed,"Related to ""Veydo"", ""grass""."
Veydraat,noun,Modern,Scissors,"Lit. means ""Cut"", ""Tool""."
Veydusaas,noun,Modern,Tobacco,"From ""Veydo"" and ""Pusaas,"" lit. ""grass-powder"" or ""weed-powder"", Shortened for phonetic reasons."
Veyko,verb,Semi-Canon,"Eviscerate, Disembowel, Gut","From ""Vey,"" ""to cut."""
Veyloz,noun,Non-Canon,Portrait,
Veyr,verb,Non-Canon,"Bloom, Blossom, Flourish",
Veysed,noun,Semi-Canon,Trident,"From ""Vey"", ""cut"", and ""Sed"", ""three""."
Veysenor,noun,Semi-Canon,Solstheim,"A compound of ""Vey"",""Se"" and ""Nor"", it literally means ""cut of land"". Solstheim was a part of mainland, but it was sundered from the rest of Skyrim as a result of the battle between Dragon Priests Vahlok and Miraak."
